100,100
5,18
20,5
4,19
10,20
16,22
8,28
20,7
27,2
8,24
8,15
4,30
19,16
6,24
16,14
16,20
1,18
4,21
22,7
8,30
26,21
20,31
15,9
4,10
10,11
2,15
25,3
11,10
16,16
31,1
28,15
20,28
31,23
15,21
29,20
17,21
9,6
18,24
14,21
31,21
29,2
2,21
2,12
30,18
26,30
18,22
11,4
18,8
24,2
27,19
21,12
8,28
17,23
18,28
10,17
15,5
16,16
25,18
28,24
4,20
20,19
10,28
20,25
5,12
26,31
30,14
11,4
10,28
24,27
24,2
10,8
6,26
21,31
12,15
21,13
3,9
29,10
3,15
4,7
26,27
6,22
9,15
25,16
9,17
9,1
16,19
6,19
13,25
18,24
8,5
3,11
11,29
18,14
12,21
20,6
17,24
25,23
5,18
8,13
1,16
11,16
