120,100
10,15
29,16
31,20
15,21
8,16
1,7
30,15
28,31
12,21
25,28
26,20
31,11
21,17
22,21
19,23
8,26
4,3
10,4
22,22
24,28
7,25
3,5
8,28
2,18
18,24
14,10
12,11
18,30
28,9
20,13
31,25
8,4
27,15
7,16
4,30
12,10
21,14
12,29
9,11
15,26
4,26
2,15
4,20
14,31
28,31
10,25
24,15
28,17
28,1
1,31
29,12
7,18
24,18
15,1
28,27
24,31
20,25
15,23
11,26
20,5
25,29
30,15
11,24
31,7
23,30
4,20
10,10
6,31
27,19
29,21
12,19
19,31
11,31
22,21
25,10
26,16
6,22
30,14
14,27
18,5
25,21
22,2
30,28
30,23
13,28
10,24
15,28
24,25
27,12
13,18
22,7
2,25
28,29
7,8
25,24
11,18
13,1
17,9
26,16
29,7
12,5
29,24
2,21
16,26
1,28
13,20
1,14
13,26
10,19
2,3
9,10
18,19
9,2
27,3
17,22
8,26
27,5
18,26
25,31
18,23
