100,30
27,24
24,17
19,13
17,17
27,29
28,4
16,20
1,13
13,29
9,4
17,27
23,3
12,13
24,2
31,1
5,24
24,26
7,10
7,23
26,1
20,21
4,5
7,4
15,19
1,23
22,15
17,14
17,28
24,9
28,21
9,30
13,31
24,17
9,31
8,1
31,26
21,3
28,28
4,11
15,4
3,4
17,17
15,2
13,7
9,7
27,15
5,6
14,29
22,22
26,27
21,23
21,10
25,17
4,26
26,19
29,28
22,12
11,5
12,21
9,20
28,2
3,1
5,17
27,24
5,21
19,25
12,9
2,3
23,5
28,17
23,24
11,11
4,21
13,13
9,19
1,5
18,2
5,22
16,30
14,20
19,31
12,31
6,13
2,28
15,28
12,5
20,20
15,21
8,26
3,16
13,1
20,29
2,22
19,15
20,31
2,8
30,13
5,4
23,4
29,6
