100,80
24,24
6,9
4,30
13,19
10,8
27,16
20,13
5,24
4,4
15,16
14,17
16,9
6,9
20,8
19,20
20,10
12,23
18,14
19,28
1,27
5,25
11,24
4,15
17,8
17,29
23,28
12,6
6,17
14,23
24,31
11,10
9,22
30,24
4,16
21,2
11,25
24,19
15,28
31,31
2,16
27,22
11,7
27,16
24,8
5,14
5,15
22,13
3,18
3,5
2,23
6,10
14,28
26,27
22,26
26,23
8,19
11,18
26,5
31,16
10,4
27,14
16,17
24,19
2,26
23,1
16,26
11,27
20,3
22,10
28,15
30,5
2,8
20,25
12,20
9,21
21,5
3,6
19,26
22,20
18,13
21,2
5,29
27,25
31,17
1,28
29,29
30,31
5,18
22,16
4,31
3,25
4,5
28,22
28,18
11,14
28,29
14,30
26,9
21,25
23,22
