100,110
4,18
22,26
31,19
27,30
24,21
14,3
21,1
23,1
9,5
6,30
29,11
4,23
14,2
30,14
31,29
19,4
15,9
27,14
26,20
13,18
9,24
18,28
24,10
26,30
14,31
27,9
11,28
29,22
29,27
3,29
24,21
30,6
27,23
19,21
12,29
8,18
22,25
14,12
1,9
9,15
8,4
21,16
31,19
5,28
14,7
23,5
27,21
10,22
11,26
10,22
24,15
8,14
6,20
25,7
28,2
19,2
3,8
16,2
24,20
28,5
24,19
9,19
7,16
7,17
10,14
5,2
28,10
13,3
27,7
9,23
6,25
23,7
30,5
8,23
22,2
27,14
19,2
30,25
17,5
8,24
19,10
26,13
17,7
15,13
11,21
2,15
14,24
21,11
26,26
2,16
28,28
27,15
29,25
6,12
30,11
4,15
18,27
27,3
1,9
15,9
